0	1	2	3	4	5
0000a1a14f038e099698618ba0474183	1	00:00:49	http://www.celebritycruises.com/htmlpage/bestofferever	01-17-2016	05:14:18 GMT
0000bb7860a3fcfe44dd07799e5ae7fe	1	00:01:04	https://secure.celebritycruises.com/specials/limited-time-offers-overview	01-09-2016	12:53:36 GMT
0000bb7860a3fcfe44dd07799e5ae7fe	1	00:01:04	http://www.celebritycruises.com/htmlpage/celebrity-credit-card	01-09-2016	12:54:40 GMT
0000bba2abd568f5c0a480781daf45bf	1	00:00:00	http://www.celebritycruises.com/htmlpage/deals-and-departures?CID=emx_etar_em_2016wv_1601_bbbeuro_em_us_9286&allowMobile=y&utm_source=electronic-stats&utm_medium=email&utm_campaign=etechtrack	01-24-2016	14:52:54 GMT
0000c6c644604d07e6dcc49075870503	1	00:00:00	https://secure.celebritycruises.com/specials/limited-time-offers-overview?CID=emx_etar_mul_2015hl_1509_hoca_em_us_5858&allowMobile=y&utm_source=electronic-stats&utm_medium=email&utm_campaign=etechtrack	12-09-2015	07:13:37 GMT
0000c850c95535b4102cf82db03894b4	1	00:00:09	http://www.celebritycruises.com/ships	01-14-2016	01:01:30 GMT
0000c850c95535b4102cf82db03894b4	1	00:00:09	http://www.celebritycruises.com/ships/celebrity-xpedition	01-14-2016	01:01:39 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/	01-23-2016	21:16:47 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/	01-23-2016	21:16:48 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/plan-and-book/before-you-go-getting-ready?tab=before_you_go_getting_ready	01-23-2016	21:17:02 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/	01-23-2016	21:19:08 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/destinations	01-23-2016	21:19:23 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/	01-23-2016	21:19:24 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/destinations/caribbean	01-23-2016	21:19:30 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/cruise-search/search-results	01-23-2016	21:19:38 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/cruise-search/search-results	01-23-2016	21:20:32 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/cruise-search/search-results	01-23-2016	21:20:34 GMT
