Segment Code	Frequency	Freq_Percentage
7740	355974	0.2749%
7741	396471	0.3061%
7746	89014	0.0687%
7744	254988	0.1969%
7745	341344	0.2636%
23363	23475	0.0181%
23362	23468	0.0181%
23361	3590	0.0028%
23360	5651	0.0044%
23367	203765	0.1573%
23366	3609	0.0028%
23365	89698	0.0693%
23364	5705	0.0044%
23368	220996	0.1706%
23204	40	0.0000%
16149	45860	0.0354%
455	105	0.0001%
6650	345495	0.2668%
1454	25	0.0000%
1107	254200	0.1963%
1456	70	0.0001%
1105	38052	0.0294%
1102	275741	0.2129%
1103	75964	0.0587%
1100	83897	0.0648%
2763	103	0.0001%
2762	554	0.0004%
1101	165929	0.1281%
2764	5	0.0000%
9289	106	0.0001%
998	98524	0.0761%
1908	15696	0.0121%
5138	917	0.0007%
1906	12203	0.0094%
5136	292813	0.2261%
6	362315	0.2798%
14786	382	0.0003%
14785	157	0.0001%
14784	956	0.0007%
14783	228	0.0002%
14782	202	0.0002%
14781	432	0.0003%
14780	185	0.0001%
7008	61687	0.0476%
7001	83149	0.0642%
7000	37848	0.0292%
7003	90040	0.0695%
7002	93880	0.0725%
7005	55364	0.0427%
7004	73107	0.0565%
7007	55114	0.0426%
7006	98505	0.0761%
22880	1784368	1.3778%
8400	108355	0.0837%
3061	16	0.0000%
3060	2	0.0000%
3066	266325	0.2056%
23223	1	0.0000%
27476	1	0.0000%
27475	9	0.0000%
27474	38	0.0000%
27479	19	0.0000%
27478	163	0.0001%
27523	10	0.0000%
1696	351	0.0003%
1697	48	0.0000%
1694	2241	0.0017%
1695	774	0.0006%
1692	186	0.0001%
1693	66	0.0001%
1690	518	0.0004%
1691	264	0.0002%
1698	61	0.0000%
1273	160809	0.1242%
1274	481207	0.3716%
14765	42	0.0000%
14764	329	0.0003%
14767	343	0.0003%
14766	158	0.0001%
14761	1363	0.0011%
14762	378	0.0003%
14769	656	0.0005%
14768	71	0.0001%
3110	74	0.0001%
1476	15791	0.0122%
1475	410131	0.3167%
1479	563	0.0004%
23200	184	0.0001%
23201	25	0.0000%
1306	104482	0.0807%
1307	64018	0.0494%
1300	19022	0.0147%
1301	9964	0.0077%
23206	10	0.0000%
1303	18086	0.0140%
23208	33	0.0000%
23209	145	0.0001%
1308	269188	0.2079%
1309	344052	0.2657%
498	55	0.0000%
499	606	0.0005%
494	544	0.0004%
495	574	0.0004%
496	646	0.0005%
497	357	0.0003%
493	138	0.0001%
24	466872	0.3605%
25	644224	0.4974%
27	40790	0.0315%
20	15027	0.0116%
21	22944	0.0177%
22	98325	0.0759%
23	50450	0.0390%
10308	288958	0.2231%
28	413669	0.3194%
29	302860	0.2339%
1703	71	0.0001%
23374	15812	0.0122%
23376	37136	0.0287%
23377	188117	0.1453%
23371	74186	0.0573%
23372	60239	0.0465%
23373	10294	0.0079%
16091	218338	0.1686%
16090	101800	0.0786%
16093	250031	0.1931%
16092	259295	0.2002%
16095	155702	0.1202%
16094	57209	0.0442%
16097	129740	0.1002%
16096	172353	0.1331%
6663	606	0.0005%
6666	2	0.0000%
6667	152	0.0001%
6664	3400	0.0026%
6665	414007	0.3197%
7	39892	0.0308%
16148	54877	0.0424%
16147	85440	0.0660%
16146	96324	0.0744%
