Segment Code	Frequency
5414	2707808
5415	78797
5416	2197446
5417	3985791
5410	2293111
14759	8740
5412	3592007
5413	1963634
14755	13821
14756	1888
14757	16672
5418	613599
5419	1064387
14752	1693
14753	1597
449	4122
448	1233
1339	29819
1338	65029
443	23515
442	32453
441	25392
1336	35089
447	15957
1330	3973
1333	5498
1332	12199
39	4362364
38	1715588
33	4370382
32	6075800
31	1974512
30	112220
37	2232167
36	1786170
5571	1375737
5570	542671
3092	48215
3093	46986
3090	1391811
3091	10477
3096	2349191
3097	88434
23149	3632717
23148	2818611
23147	3739830
23146	930995
23145	1983324
23144	3782419
23327	48475
23324	3659
339	986890
338	639895
23320	12627
335	5178523
337	255246
336	2837711
23329	763321
23328	95687
23205	213
7412	541426
7410	819799
7411	5315
3195	327
6613	1106457
6612	3412114
6611	2430568
6617	734606
6616	827630
6615	1835165
6614	758422
6619	1681772
6618	2402363
11539	54383
5952	9764
11533	17821
11532	56329
11531	9165
11530	19187
11537	23694
11536	18912
11535	38804
11534	24305
1962	9
3638	105013
3639	24478
3636	41389
3637	238306
3634	51517
3635	203531
3632	293135
3633	570669
3630	104505
3631	282725
233	41807
9119	7752
9118	15591
9111	80458
9110	34185
9113	117748
9112	140275
9115	48127
9114	48819
9117	2514
9116	34947
21157	20915
13372	24909
13371	2741
1356	23416
9205	4181982
5172	592772
5171	2576340
9206	7329136
9201	1100275
5176	1888691
5175	2546140
5174	1737202
2653	493649
2652	671112
5179	1211053
5178	1394434
2657	1022118
9208	499317
2655	596199
2654	471652
133	226081
132	76339
131	25824
130	118256
137	70570
136	85
135	168729
134	99739
139	591986
138	151468
1354	3071
2019	22
2018	1765
2014	1438
2017	428
2011	4274
2013	3438
2012	2447
10289	1365528
7131	34238
7130	7183
7133	35765
7132	4393
7135	42034
7134	46285
7137	6311
7136	22935
7728	6756626
7729	7331279
1653	2178
1651	1481
1656	44
1654	2399
1655	3901
1986	1535
3215	69
1984	1163
1985	2471
7721	2787701
3210	323
3159	876942
3158	573767
1983	1258
1436	881537
1437	366650
27501	944
5404	2914782
5403	4307151
5402	3204204
5401	4003063
5400	4910803
14720	46
27509	5
3213	1282357
1438	9435343
1439	627955
1348	2721
1349	23453
1340	24232
1341	2549
1342	28178
1343	7545
454	13752
1345	3917
1346	61511
1347	9270
7717	3809485
7716	5250952
7719	7133251
7718	6780089
23159	754303
3089	6620
3088	23495
23150	1504563
3084	2359202
23152	1279489
23153	449201
23154	545023
3080	4019
23156	299773
3082	51145
23334	227861
23336	31678
23338	19006
7409	1036074
7405	260076
7404	365542
7406	413690
7403	263985
7402	337324
11527	4339
6628	2261309
6629	2021528
6626	2236409
6627	2028750
6624	1264001
6625	2354857
6622	939898
11529	3027
6620	1642891
6621	494025
322	5410127
323	3013359
320	1637569
321	980133
324	1340599
3629	17629
3628	10694
3621	544248
3620	110620
3623	675054
3622	240870
3625	397962
3624	189716
3627	774805
3626	265129
5173	1751019
9204	392401
2659	867152
13368	93737
13369	116
2658	407501
21351	853
5177	1744228
13365	5693
13366	6923
13367	9509
9203	704256
2488	450
2489	36
2486	569
2487	512
2484	8960
2485	1246
2651	622131
9270	1432
994	431417
21345	122
2650	389736
9275	1152
5148	2435796
5149	3329510
5146	11878
5147	1626004
5144	32212
5145	413028
5142	1788
998	1997384
5140	17903
2656	408186
123	1267792
124	32803
125	299744
126	37243
127	300761
128	268460
129	117577
5424	272095
2790	5867518
9098	12389
5421	2600741
9092	3693
9308	4733
9309	771
9304	1567
9305	13
9300	27
9302	1264
5098	390535
5099	236860
5091	28932
5092	939769
5093	4956
5094	942378
5095	1079903
5096	823239
5097	30199
2664	1523274
2662	714188
2663	1372231
2660	629247
2661	1216935
27503	20
1645	32
1644	71173
1647	1672
1646	199731
1648	1587
12729	3668
12728	15149
388	2181809
3168	31
3169	267
3166	196
3167	31
3164	1478462
3165	435946
3162	672145
3163	2007858
3160	647528
3161	1117293
5436	4035448
5437	2313387
5435	2322555
27514	83
3365	5915781
5438	3333280
5439	1530618
27510	204
27511	45
27513	1
12720	97
1359	92177
1358	48236
469	52
468	2080
1353	4948
1352	57367
467	18871
1350	6251
461	519
460	5133
1355	26644
462	8036
23186	1592029
23189	198
23188	386453
3184	407
3185	16434
3187	2448584
3188	1896956
11551	23420
11550	12742
11553	1445
11552	46449
11555	15386
11554	2638
11556	105
11559	8672
6630	1607071
6633	1954478
6632	1107282
6635	1422265
6634	1639662
6637	3074619
6636	1053000
49	2461485
357	504352
356	220278
355	186449
354	729793
353	539096
352	470807
351	418208
350	1278153
359	9146
